ticker,horizon,N,beta,beta_pct_per_bp,t_hac,p_hac,sig,R2,IC,sign_correct
IEI,OTC,23,3.5801382381968054e-06,0.00035801382381968057,0.04687835222091002,0.9626101815473078,,9.447490152025839e-05,0.14785544535474318,False
KRE,OTC,23,-0.00038326291178133814,-0.03832629117813381,-1.569817730816775,0.11645752136897265,,0.019980511758509012,0.030761871181188182,True
XLRE,OTC,23,-0.0002430612276282686,-0.02430612276282686,-1.4850426406778954,0.13753252895971937,,0.028899746455805397,-0.18605970472492853,True
TLT,OTC,23,-9.407798733380515e-06,-0.0009407798733380515,-0.062393783561943465,0.9502492453153409,,0.00017783856640485318,-0.10717038992155882,True
SHY,OTC,23,-2.883054117910517e-06,-0.0002883054117910517,-0.07470804201702459,0.9404470089532673,,0.00027415064538116596,0.11907821102395424,True
IEF,OTC,23,-6.582632241221249e-07,-6.582632241221249e-05,-0.006259103376163162,0.9950059906595754,,1.8308459690530299e-06,0.11113966362235729,True
TNX,OTC,23,0.0008077398754432183,0.08077398754432183,0.803598278050734,0.4216290179165816,,0.01709743412393161,0.11513738386685536,True
TNX,OTC,23,0.0008077398754432183,0.08077398754432183,0.803598278050734,0.4216290179165816,,0.01709743412393161,0.11513738386685536,True
