fomc_date,surprise_bps,decision_bps,lm_signal,IEI_otc,KRE_otc,XLRE_otc,TLT_otc,SHY_otc,IEF_otc,TNX_change,IEI_5d,KRE_5d,XLRE_5d,TLT_5d,SHY_5d,IEF_5d,kalshi_expected_t7
2023-05-03,25.0,25,0.021175039999999996,0.0032919674654335943,-0.023541503084360333,-0.008145615988127648,0.002735857693654315,0.0017043996918519222,0.003804918824145838,-0.014999866485595703,-0.001598472744729363,-0.02882590110673793,0.024089809689322478,-0.021074462956379453,-0.00024287941259847103,-0.005486297764049306,0.0
2023-06-14,-5.0,0,0.026195490000000002,-0.002590028895927903,-0.031200567090158844,0.0021338493671866215,0.003837443670060929,-0.0017222215287452769,-0.001654560886909689,-0.015000104904174805,0.0005192234917656507,-0.05401329037689494,-0.02585585977068999,0.0028428601964579554,0.0,0.0016573056258809564,5.0
2023-07-26,0.75,25,0.023873283999999995,0.0015625026904875102,0.021107673321592878,0.0056995137150232305,-0.00403229406843839,0.0006168647084114017,0.001142863484172144,-0.03399991989135742,-0.005136561404261671,-0.018624734244145687,-0.022153687171462242,-0.038633103441148085,-0.00022310465071785542,-0.014216271016585796,24.25
2023-09-20,-1.0,0,0.03161765,-0.0029908864036982037,-0.015456670623409881,-0.005241341426454697,-0.0021439015507978038,-0.0016067837959248597,-0.0035445954507336724,0.009999752044677734,-0.005117194560191387,-0.027592899210266728,-0.06821958772641674,-0.0502737303695841,0.0004952303531299457,-0.015630162696006866,1.0
2023-11-01,-0.5,0,0.017675793333333335,0.00561795306622882,0.005300426674189567,0.003922784264016723,0.012613012220920995,0.0022277264650656546,0.008593797830067355,-0.10400009155273438,0.007714982229737739,0.054983436769242805,0.03817269447553566,0.052408952738042164,0.0014816676781034487,0.01792636640694592,0.5
2023-12-13,-0.5,0,0.015007355,0.009009016749243525,0.058556704177070006,0.035207569738246285,0.017547527593525267,0.004290774493447877,0.011859329608577615,-0.15399980545043945,0.006127832722616796,0.011739596235701,0.006532867977776097,0.03139983642947312,0.002203933996143958,0.012091362351381186,0.5
2024-01-31,0.0,0,,0.0023888642733891734,-0.01114201307789988,-0.012943307951723028,0.004572879191686998,0.00036473088508313586,0.003850585499878193,-0.05299997329711914,-0.00838722682181998,-0.057344130814291114,-0.0007870943277224372,-0.018266550961233745,-0.002412739931499382,-0.013032258598408104,0.0
2024-03-20,0.25,0,-0.00119904,0.001821643708330473,0.03563853048213442,0.012747182517492009,-0.0022556293009073428,0.0014708888758791234,0.0012777671441612124,-0.010000228881835938,0.00424281037479059,0.024580082258663476,0.008990496758808881,0.019485313754615163,0.0015913843643746632,0.007657123320657534,-0.25
2024-05-01,0.25,0,0.0091511075,0.001146629793277567,0.016224198748785647,0.0008291536496360672,-0.00045147760966412885,0.0012354058960567214,0.000984319562400043,-0.07500028610229492,0.007752532138550118,0.04022391668799954,0.023750332623098183,0.01840600636804731,0.0028377287967743356,0.010926469190092275,-0.25
2024-06-12,0.25,0,0.01595541,-0.00302583625539521,-0.002312394598638827,-0.014406935270954902,-0.0053751883255660025,-0.0015931036255987273,-0.0034013572342278353,-0.09299993515014648,0.0036421282085087135,-0.007585494101353659,0.0018273271286591188,0.015564385540745091,0.0017185207159082219,0.006079013798926677,-0.25
2024-07-31,1.0,0,-0.00962567,0.0032398094505228414,-0.0011996520420692845,-0.0009701895700087041,0.002962009763171485,0.0014594394965453067,0.004390989673237879,-0.018999576568603516,0.007456022066747907,-0.10535349530565137,0.0014566861886241241,0.014974154193646977,0.005263879105173344,0.008132867179875677,-1.0
2024-09-18,-25.0,-50,0.02252615,-0.0006671266867597931,0.002100086334731453,-0.004216654141490347,-0.006484452710805979,0.00012036265239629918,-0.002025773025790932,0.003999948501586914,-0.0008344644332804812,-0.02884701833784983,0.002520786599324336,-0.01767231071169517,0.001323478737705386,-0.00466873737251279,-25.0
2024-11-07,-2.25,-25,0.00116959,0.0024114958041943865,-0.024894410927392713,0.008644835011220833,0.0063912047499138916,0.0009749445299799894,0.003951754324851567,-0.07499980926513672,-0.005756311738662411,0.018567301160888762,-0.005559402105933625,-0.011058631362450897,-0.002435108333621636,-0.0076596325335545005,-22.75
2024-12-18,-1.5,-25,0.0169591925,-0.00621065486765961,-0.05961303683468718,-0.035950816027647714,-0.009002973742400767,-0.002320782155026705,-0.007601703135689344,0.07599973678588867,-8.695681140407004e-05,0.024699013705183622,0.013482040528673939,-0.015029285344700589,0.0013468269311195068,-0.003991700891986993,-23.5
2025-01-29,0.0,0,0.02089785333333333,-0.0014629791171254989,0.0017322930764026262,-0.012771054922816182,-0.00474949867121874,-0.0007290990147799813,-0.002253692678524216,0.028999805450439453,0.004915169923727318,0.017921804338888223,0.02514019458234261,0.025005249612769263,0.0016202242998929375,0.009558600914966065,0.0
